date,West Ham Football Club,isPartial
2016-03-19 13:20:00,20,False
2016-03-19 13:28:00,20,False
2016-03-19 13:36:00,13,False
2016-03-19 13:44:00,13,False
2016-03-19 13:52:00,7,False
2016-03-19 14:00:00,13,False
2016-03-19 14:08:00,26,False
2016-03-19 14:16:00,19,False
2016-03-19 14:24:00,13,False
2016-03-19 14:32:00,0,False
2016-03-19 14:40:00,13,False
2016-03-19 14:48:00,38,False
2016-03-19 14:56:00,38,False
2016-03-19 15:04:00,38,False
2016-03-19 15:12:00,50,False
2016-03-19 15:20:00,38,False
2016-03-19 15:28:00,69,False
2016-03-19 15:36:00,44,False
2016-03-19 15:44:00,100,False
2016-03-19 15:52:00,44,False
2016-03-19 16:00:00,57,False
2016-03-19 16:08:00,44,False
2016-03-19 16:16:00,82,False
2016-03-19 16:24:00,75,False
2016-03-19 16:32:00,88,False
2016-03-19 16:40:00,50,False
2016-03-19 16:48:00,57,False
2016-03-19 16:56:00,87,False
2016-03-19 17:04:00,63,False
2016-03-19 17:12:00,38,False
2016-03-19 17:20:00,26,False
2016-03-19 17:28:00,32,False
2016-03-19 17:36:00,20,False
2016-03-19 17:44:00,33,False
2016-03-19 17:52:00,45,False
2016-03-19 18:00:00,26,False
2016-03-19 18:08:00,13,False
2016-03-19 18:16:00,20,False
2016-03-19 18:24:00,40,False
2016-03-19 18:32:00,13,False
2016-03-19 18:40:00,7,False
2016-03-19 18:48:00,34,False
2016-03-19 18:56:00,20,False
2016-04-02 13:04:00,7,False
2016-04-02 13:12:00,7,False
2016-04-02 13:20:00,0,False
2016-04-02 13:28:00,0,False
2016-04-02 13:36:00,14,False
2016-04-02 13:44:00,14,False
2016-04-02 13:52:00,7,False
2016-04-02 14:00:00,34,False
2016-04-02 14:08:00,68,False
2016-04-02 14:16:00,27,False
2016-04-02 14:24:00,40,False
2016-04-02 14:32:00,54,False
2016-04-02 14:40:00,100,False
2016-04-02 14:48:00,53,False
2016-04-02 14:56:00,66,False
2016-04-02 15:04:00,99,False
2016-04-02 15:12:00,26,False
2016-04-02 15:20:00,65,False
2016-04-02 15:28:00,72,False
2016-04-02 15:36:00,59,False
2016-04-02 15:44:00,78,False
2016-04-02 15:52:00,52,False
2016-04-02 16:00:00,45,False
2016-04-02 16:08:00,26,False
2016-04-02 16:16:00,20,False
2016-04-02 16:24:00,13,False
2016-04-02 16:32:00,20,False
2016-04-02 16:40:00,26,False
2016-04-02 16:48:00,13,False
2016-04-02 16:56:00,26,False
2016-04-02 17:04:00,26,False
2016-04-02 17:12:00,0,False
2016-04-02 17:20:00,33,False
2016-04-02 17:28:00,26,False
2016-04-02 17:36:00,0,False
2016-04-02 17:44:00,7,False
2016-04-02 17:52:00,0,False
2016-04-02 18:00:00,20,False
2016-04-02 18:08:00,34,False
2016-04-02 18:16:00,7,False
2016-04-02 18:24:00,7,False
2016-04-02 18:32:00,27,False
2016-04-02 18:40:00,7,False
2016-04-02 18:48:00,20,False
2016-04-02 18:56:00,7,False
2016-04-09 10:00:00,13,False
2016-04-09 10:08:00,13,False
2016-04-09 10:16:00,0,False
2016-04-09 10:24:00,25,False
2016-04-09 10:32:00,12,False
2016-04-09 10:40:00,6,False
2016-04-09 10:48:00,0,False
2016-04-09 10:56:00,6,False
2016-04-09 11:04:00,6,False
2016-04-09 11:12:00,12,False
2016-04-09 11:20:00,23,False
2016-04-09 11:28:00,17,False
2016-04-09 11:36:00,17,False
2016-04-09 11:44:00,28,False
2016-04-09 11:52:00,22,False
2016-04-09 12:00:00,60,False
2016-04-09 12:08:00,38,False
2016-04-09 12:16:00,26,False
2016-04-09 12:24:00,37,False
2016-04-09 12:32:00,46,False
2016-04-09 12:40:00,56,False
2016-04-09 12:48:00,51,False
2016-04-09 12:56:00,100,False
2016-04-09 13:04:00,99,False
2016-04-09 13:12:00,29,False
2016-04-09 13:20:00,68,False
2016-04-09 13:28:00,58,False
2016-04-09 13:36:00,38,False
2016-04-09 13:44:00,28,False
2016-04-09 13:52:00,37,False
2016-04-09 14:00:00,32,False
2016-04-09 14:08:00,37,False
2016-04-09 14:16:00,27,False
2016-04-09 14:24:00,32,False
2016-04-09 14:32:00,18,False
